Id,Name,Price,Amount,Weight,Description
1,Філадельфія з лососем,279,270,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, лосось, крем сир, авокадо, огірок, норі"
2,Філадельфія з тунцем,269,270,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, тунець, крем сир, авокадо, огірок, норі"
3,Філадельфія дует,269,280,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, лосось, тунець, крем сир, огірок, соус горіховий унагі, норі, кунжут"
4,Філадельфія з креветкою,269,260,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, креветка, огірок, авокадо, крем сир, ікра тобіко, соус чилі гарлик, кунжут, норі"
5,Філадельфія з вугрем,359,270,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, вугор, авокадо, крем сир, огірок, соус унагі, кунжут, норі"
6,Кранч з креветкою,249,250,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, креветка темпура, ікра тобіко, кляр темпура, огірок, соус унагі, норі"
7,Ебі Рол,209,260,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, креветка темпура, крем сир, салат айсберг, огірок, ікра тобіко, соус чилі гарлик, фунчоза, паприка, норі"
8,Філадельфія Ф'южн,269,260,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, вугор, крабовий мікс, огірок, салат айсберг, варена креветка, кранч, соус горіховий унагі, кунжут чорний, норі"
9,Темпура рол з лососем,249,200,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, лосось, краб мікс, авокадо, кляр темпура, соус чилі гарлик, сухарі панко, кунжут, норі"
10,Темпура рол з тунцем,249,200,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, тунець, краб мікс, авокадо, кляр темпура, соус чилі гарлик, сухарі панко, кунжут, норі"
11,Темпура рол з куркою,159,270,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, копчена курка, крем сир, кляр темпура, огірок, перець болгарський, соус горіховий унагі, сухарі панко, норіі"
12,Темпура рол з вугрем,269,250,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, вугор, ікра тобіко, крем сир, огірок, соус унагі, сухарі панко, кляр темпура, норі"
13,Каліфорнія темпура,159,270,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, крабовий мікс, кляр темпура, авокадо, огірок, сухарі панко, болгарський перець, норі"
14,Ніжний з куркою,179,270,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, куряче філе, сирний соус, салат айсберг, крем сир, соус унагі, норі"
15,Ніжний з лососем,209,270,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, лосось, сирний соус, салат айсберг, крем сир, соус унагі, норі"
16,Ніжний з вугрем,249,270,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, вугор, сирний соус, салат айсберг, крем сир, соус унагі, норі"
17,Запечений з крабовим міксом,159,280,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, крабовий мікс, салат айсберг, сирний соус, болгарський перець, кунжут, огірок, норі"
18,Запечений з креветкою,209,300,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, креветка темпура, салат айсберг, сирний соус, болгарський перець, кунжут, огірок, норі"
19,Запечений з лососем (гострий),209,280,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, салат айсберг, лосось, сирний соус, крем сир, соус Шрірача, огірок, нор, кунжут"
20,Запечений з тунцем (гострий),209,280,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, салат айсберг, тунець, сирний соус, крем сир, соус Шрірача, огірок, норі, кунжут"
21,Філадельфія Хіяші,269,280,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, лосось, крем сир, салат айсберг, хіяші вакаме, соус горіховий (гострий), кунжут чорний, норі"
22,Філадельфія Гурман,429,290,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, лосось, вугор, ікра тобіко, крем сир, норі"
23,Рол з лососем та огірком,269,280,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, огірок, лосось, кунжут, кранч, крабовий мікс, майонез, ікра тобіко, норі"
24,Золотий дракон,359,270,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, вугор, авокадо, огірок, кунжут, крабовий мікс, соус унагі, норі"
25,Зелений Дракон,329,280,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, огірок, вугор, авокадо, кунжут, крабовий мікс, соус унагі, норі"
26,Червоний Дракон,329,280,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, лосось, авокадо, огірок, майонез, крабовий мікс, ікра тобіко, норі"
27,Роял Рол,179,260,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, копчена курка, салат айсберг, огірок, перець болгарський, соус чилі гарлик, кунжут, норі"
28,Філадельфія з лососем в кунжуті,229,260,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, лосось, крем сир, авокадо, кунжут, огірок, норі"
29,Філадельфія з копченим лососем в кунжуті,219,250,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, копчений лосось, крем сир, авокадо, кунжут, огірок, норі"
30,Філадельфія з вугрем в кунжуті,269,250,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, вугор, крем сир, авокадо, кунжут, огірок, норі"
31,Філадельфія з тунцем в кунжуті,219,260,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, тунець, крем сир,авокадо, кунжут, огірок, норі"
32,Філадельфія з креветкою в кунжуті,199,250,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, креветка темпура, крем сир, авокадо, огірок, кунжут, норі"
33,Філадельфія з копченим лососем,289,260,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, копчений лосось, крем сир, авокадо, огірок, норі"
34,Каліфорнія з лососем в ікрі,259,230,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, лосось, авокадо, огірок, ікра тобіко, норі"
35,Каліфорнія з крабовим міксом в кунжуті,129,230,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, крабовий мікс, авокадо, огірок, кунжут, норі"
36,Каліфорнія з лососем в кунжуті,199,230,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, лосось, авокадо, огірок, кунжут, норі"
37,Каліфорнія з копченим лососем в кунжуті,199,220,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, копчений лосось, авокадо, огірок, кунжут, норі"
38,Каліфорнія з вугрем в кунжуті,199,240,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, вугор, омлет, огірок, кунжут, соус унагі, норі"
39,Каліфорнія з крабовим міксом в ікрі,199,230,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, крабовий мікс, авокадо, огірок, ікра тобіко, норі"
40,Каліфорнія Чікен,139,240,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, копчена курка, омлет, огірок, кунжут, соус горіховий унагі, норі"
41,Каліфорнія з креветкою в кунжуті,179,240,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, креветка, омлет, огірок, кунжут, соус унагі, норі"
42,Футомакі з лососем (гострий),229,260,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, лосось, соус Шрірача, салат айсберг, огірок, крабовий мікс, норі"
43,Футомакі з креветкою в темпурі,199,260,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, креветка темпура, крем сир, огірок, болгарський перець, норі"
44,Торі Рол (гострий),159,240,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, копчена курка, салат айсберг, огірок, цибуля зелена, майонез, соус Шрірача, норі"
45,Фелікс рол з лососем,219,240,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, фелікс з лососем, кунжут, салат айсберг, огірок, норі, майонез"
46,Фелікс рол з копченим лососем,219,240,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, фелікс з копченим лососем, кунжут, салат айсберг, огірок, норі, майонез"
47,Фелікс рол з тунцем,179,240,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, фелікс з тунцем, кунжут, салат айсберг, огірок, норі, майонез"
48,Макі з лососем,129,130,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, лосось, норі"
49,Макі з вугрем,159,130,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, вугор, норі"
50,Макі з тунцем,119,130,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, тунець, норі"
51,Макі з креветкою,109,130,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, креветка темпура, норі"
52,Макі з авокадо,89,130,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, авокадо, норі"
53,Макі з огірком,59,130,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, огірок, норі"
54,Суші гункан з лососем,109,80,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, лосось, майонез, ікра тобіко, норі"
55,Суші гункан з вугрем,149,80,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, вугор, майонез, ікра тобіко, норі"
56,Суші гункан з тунцем,109,80,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, тунець, майонез, ікра тобіко, норі"
57,Суші гункан з креветкою,139,80,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, креветка, майонез, ікра тобіко, норі"
58,Суші нігірі з вугрем,149,65,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, вугор, соус унагі, кунжут"
59,Суші нігірі з креветкою,89,50,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, квеветка"
60,Суші нігірі з тунцем,89,60,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, тунець"
61,Суші нігірі з лососем,119,60,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, лосось"
1,Каліфорнія темпура,159,270,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, крабовий мікс, кляр темпура, авокадо, огірок, сухарі панко, болгарський перець, норі"
2,Каліфорнія з лососем в ікрі,259,230,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, лосось, авокадо, огірок, ікра тобіко, норі"
3,Каліфорнія з крабовим міксом в ікрі,199,230,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, крабовий мікс, авокадо, огірок, ікра тобіко, норі"
4,Каліфорнія з лососем в кунжуті,199,230,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, лосось, авокадо, огірок, кунжут, норі"
5,Каліфорнія з копченим лососем в кунжуті,199,220,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, копчений лосось, авокадо, огірок, кунжут, норі"
6,Каліфорнія з вугрем в кунжуті,199,240,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, вугор, омлет, огірок, кунжут, соус унагі, норі"
7,Каліфорнія з крабовим міксом в кунжуті,129,230,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, крабовий мікс, авокадо, огірок, кунжут, норі"
8,Каліфорнія Чікен,139,240,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, копчена курка, омлет, огірок, кунжут, соус горіховий унагі, норі"
9,Каліфорнія з креветкою в кунжуті,179,240,г,"🔥Отримуйте 5% КЕШБЕК🔥 Рис, креветка, омлет, огірок, кунжут, соус унагі, норі"
1,Сет Гурман,699,880,г,"🔥Отримуйте 5% КЕШБЕК🔥 Філадельфія з лососем, Кранч з креветкою, Каліфорнія з лососем в кунжуті, Макі з тунцем. Соєвий соус - 100 мл (2 шт). Імбир - 20 г. Васабі - 10 г."
2,Сет Сенсей,549,1080,г,"🔥Отримуйте 5% КЕШБЕК🔥 Каліфорнія темпура, Темпура рол з куркою, Запечений з крабовим міксом, Ніжний з куркою. Соєвий соус - 100 мл (2 шт). Імбир - 20 г. Васабі - 10 г."
3,Сет Банзай,599,1010,г,"🔥Отримуйте 5% КЕШБЕК🔥 Філадельфія дует, Футомакі з лососем (гострий), Каліфорнія з крабовим міксом в кунжуті, Каліфорнія Чікен Соєвий соус - 100 мл (2 шт). Імбир - 20 г. Васабі - 10 г."
